QOI, 2184430, 1626946, 25.520799
QOI Run, 2184430, 4477291, -104.963812
QOI Diff/Luma, 2184430, 1655266, 24.224351
QOI, 1916502, 1382544, 27.861072
QOI Run, 1916502, 4212371, -119.794761
QOI Diff/Luma, 1916502, 1478915, 22.832588
QOI, 2128524, 1604028, 24.641301
QOI Run, 2128524, 4525466, -112.610523
QOI Diff/Luma, 2128524, 1634786, 23.196262
QOI, 1509687, 1010118, 33.090899
QOI Run, 1509687, 3494192, -131.451420
QOI Diff/Luma, 1509687, 1131511, 25.049961
QOI, 1533636, 1214299, 20.822216
QOI Run, 1533636, 3542300, -130.973973
QOI Diff/Luma, 1533636, 1355986, 11.583583
QOI, 886841, 809627, 8.706634
QOI Run, 886841, 2849827, -221.345878
QOI Diff/Luma, 886841, 1033836, -16.575125
QOI, 843608, 700238, 16.994860
QOI Run, 843608, 2302952, -172.988402
QOI Diff/Luma, 843608, 1114341, -32.092275
QOI, 2361628, 1771075, 25.006182
QOI Run, 2361628, 4489685, -90.109746
QOI Diff/Luma, 2361628, 1789045, 24.245266
QOI, 169925, 194493, -14.458143
QOI Run, 169925, 611103, -259.631014
QOI Diff/Luma, 169925, 951119, -459.728704
QOI, 706898, 555758, 21.380737
QOI Run, 706898, 1749664, -147.512937
QOI Diff/Luma, 706898, 1046638, -48.060682
QOI, 1241557, 981006, 20.985827
QOI Run, 1241557, 3212996, -158.787635
QOI Diff/Luma, 1241557, 1159008, 6.648829
QOI, 2572312, 2484803, 3.401959
QOI Run, 2572312, 4508577, -75.273334
QOI Diff/Luma, 2572312, 2528003, 1.722536
QOI, 873687, 757906, 13.252000
QOI Run, 873687, 2489618, -184.955367
QOI Diff/Luma, 873687, 1095207, -25.354618
QOI, 1051952, 820534, 21.998912
QOI Run, 1051952, 2547464, -142.165422
QOI Diff/Luma, 1051952, 1134140, -7.812904
QOI, 2137237, 1605486, 24.880301
QOI Run, 2137237, 4482247, -109.721570
QOI Diff/Luma, 2137237, 1666636, 22.019130
QOI, 1194278, 1028999, 13.839240
QOI Run, 1194278, 3471014, -190.637021
QOI Diff/Luma, 1194278, 1186425, 0.657552
QOI, 1311518, 1001664, 23.625600
QOI Run, 1311518, 3202267, -144.164929
